date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:38	29597/29597	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:37%20GMT	http://new.rapiditltd.net/Dashboard	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Dashboard.html	(from )
22:27:38	680/680	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jun%202021%2016:27:38%20GMT	http://new.rapiditltd.net/robots.txt		(from )
22:27:38	2598/2598	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2013:15:00%20GMT	http://new.rapiditltd.net/assets/vendors/core/core.css	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/assets/vendors/core/core.css	(from http://new.rapiditltd.net/Dashboard)
22:27:39	13247/13247	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2020:40:52%20GMT	http://new.rapiditltd.net/assets/fonts/feather-font/css/iconfont.css	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/assets/fonts/feather-font/css/iconfont.css	(from http://new.rapiditltd.net/Dashboard)
22:27:39	960760/960760	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2014:06:00%20GMT	http://new.rapiditltd.net/assets/css/style.css	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/assets/css/style.css	(from http://new.rapiditltd.net/Dashboard)
22:27:41	15406/15406	---M-Z	200	added ('OK')	image/x-icon	date:Sun,%2027%20Sep%202020%2006:15:26%20GMT	http://new.rapiditltd.net/assets/images/favicon.ico	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/assets/images/favicon.ico	(from http://new.rapiditltd.net/Dashboard)
22:27:41	25939/25939	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:41%20GMT	http://new.rapiditltd.net/Invoice-Add	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Invoice-Add.html	(from http://new.rapiditltd.net/Dashboard)
22:27:42	21572/21572	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:41%20GMT	http://new.rapiditltd.net/Invoice-Manage	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Invoice-Manage.html	(from http://new.rapiditltd.net/Dashboard)
22:27:42	22153/22153	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:42%20GMT	http://new.rapiditltd.net/Invoice-Settings	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Invoice-Settings.html	(from http://new.rapiditltd.net/Dashboard)
22:27:42	21771/21771	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:42%20GMT	http://new.rapiditltd.net/Category-Add	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Category-Add.html	(from http://new.rapiditltd.net/Dashboard)
22:27:42	21349/21349	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:42%20GMT	http://new.rapiditltd.net/Category-Manage	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Category-Manage.html	(from http://new.rapiditltd.net/Dashboard)
22:27:43	23416/23416	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:42%20GMT	http://new.rapiditltd.net/Product-Add	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Product-Add.html	(from http://new.rapiditltd.net/Dashboard)
22:27:43	22447/22447	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:43%20GMT	http://new.rapiditltd.net/Product-Manage	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Product-Manage.html	(from http://new.rapiditltd.net/Dashboard)
22:27:43	21965/21965	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:43%20GMT	http://new.rapiditltd.net/Customer-Add	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Customer-Add.html	(from http://new.rapiditltd.net/Dashboard)
22:27:44	21377/21377	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:43%20GMT	http://new.rapiditltd.net/Customer-Manage	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Customer-Manage.html	(from http://new.rapiditltd.net/Dashboard)
22:27:44	20942/20942	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:44%20GMT	http://new.rapiditltd.net/Customer-Due	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Customer-Due.html	(from http://new.rapiditltd.net/Dashboard)
22:27:44	22295/22295	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202021%2016:27:44%20GMT	http://new.rapiditltd.net/Supplier-Add	C:/Users/HOPE/Desktop/POS/new.rapiditltd.net/Supplier-Add.html	(from http://new.rapiditltd.net/Dashboard)
